Feature,Importance
mfcc_39_mean,0.05401261157694096
mfcc_11_std,0.028124987843497852
mfcc_37_mean,0.02542029839077108
mfcc_21_mean,0.02270748046777198
mfcc_24_std,0.02009980916058088
spectral_bandwidth_mean,0.01955527283276789
mfcc_31_std,0.018460772216865613
mfcc_33_mean,0.017551860002896803
mfcc_17_mean,0.016639694545282024
mfcc_6_mean,0.016081478114499694
mfcc_12_std,0.01603642145004561
chroma_7_mean,0.01592805456600811
mfcc_40_mean,0.015918556136856873
mfcc_28_std,0.014987306944235388
mfcc_2_std,0.014519992715783135
mfcc_26_std,0.014094087072848677
spectral_bandwidth_std,0.013706473711677988
mfcc_9_std,0.01347841729251511
perc_mean,0.013433781089479476
energy,0.013289977110858765
spectral_centroid_std,0.013181672689031781
rms_std,0.013036567983221788
spectral_contrast_mean,0.012846751993831732
mfcc_3_mean,0.012315018806191081
spectral_flatness_std,0.012083979004087695
mfcc_10_std,0.011834160936135617
mfcc_10_mean,0.01176078022506594
mfcc_36_mean,0.011392893277273686
spectral_centroid_mean,0.011246405549158045
mfcc_40_std,0.01115859070452488
mfcc_14_std,0.01115504084806144
chroma_11_mean,0.011065471502272741
mfcc_27_mean,0.010875837214022096
mfcc_1_std,0.010829773854156398
mfcc_3_std,0.01075342628470152
mfcc_21_std,0.010724153060346941
mfcc_9_mean,0.01064578804580439
mfcc_8_mean,0.01028137071912647
chroma_9_mean,0.010080796283501146
chroma_1_mean,0.009872130979756021
mfcc_14_mean,0.009839727291297137
mfcc_16_mean,0.009707146434707405
rms_mean,0.009447198923987602
mfcc_34_mean,0.0094071640919467
mfcc_12_mean,0.009315144466886532
chroma_0_mean,0.00916187989823231
mfcc_23_mean,0.008980769734562546
mfcc_31_mean,0.008947443555630449
mfcc_38_std,0.008526237043742764
mfcc_34_std,0.008337244956924589
mfcc_7_std,0.008322227111309042
mfcc_6_std,0.008248590458874492
mfcc_4_mean,0.008209716780297653
mfcc_15_mean,0.008060607373357518
mfcc_33_std,0.007981108854209908
spectral_contrast_std,0.007948818521056897
spectral_rolloff_std,0.007940651054263581
mfcc_16_std,0.007896953204262855
mfcc_37_std,0.007883168667134626
mfcc_35_std,0.007362101691412032
mfcc_24_mean,0.007329109022274492
zcr_std,0.0072461468983770795
mfcc_29_std,0.006922307571814149
mfcc_38_mean,0.006725330283753954
max_amplitude,0.006667978577936385
mfcc_1_mean,0.006580219210129906
mfcc_30_std,0.006575498747289796
mfcc_13_mean,0.006336803918272374
mfcc_7_mean,0.006304389455064942
chroma_std,0.006234628817783758
mfcc_4_std,0.006231563704560666
mfcc_11_mean,0.0061868909957145226
chroma_2_mean,0.005908085383716354
mfcc_17_std,0.005897690535585271
mfcc_23_std,0.005743342245412991
mfcc_19_mean,0.005708188248949119
mfcc_22_std,0.005473347421465799
mfcc_18_std,0.0054394652031723835
mfcc_22_mean,0.005208479264400315
mfcc_20_mean,0.0050344365970399095
mfcc_27_std,0.00496863479478611
mfcc_25_std,0.004965865552072449
mfcc_5_std,0.004905228902524998
mfcc_19_std,0.004885821203604792
mfcc_28_mean,0.00459311864264463
mfcc_32_std,0.004515388315388316
chroma_8_mean,0.004401012192316538
mfcc_15_std,0.004350282983098769
tempo,0.00418775497231692
mfcc_29_mean,0.00393964226006608
chroma_5_mean,0.0039281982331575305
mfcc_25_mean,0.0038269905533063427
chroma_6_mean,0.00357840895946159
mfcc_32_mean,0.0035325344416942952
chroma_mean,0.003473913951545529
mfcc_5_mean,0.003450473664266767
mfcc_36_std,0.0030828913453958824
mfcc_13_std,0.0029449343734442657
chroma_4_mean,0.002563856611225032
mfcc_26_mean,0.002392133123994026
mfcc_39_std,0.0021560690154440146
chroma_10_mean,0.0021527491184537015
mfcc_35_mean,0.0019216511867905066
mfcc_2_mean,0.001874268726442639
mfcc_8_std,0.001716465352828989
spectral_flatness_mean,0.0015342704587555831
mfcc_20_std,0.0013831845238095229
mfcc_18_mean,0.0008233918128654967
harm_perc_ratio,0.0008033011272141699
zcr_mean,0.0006818181818181818
chroma_3_mean,0.0
